Scanning 101 .tor files for zero-dot singleton FQNs
FQN	PAYLOAD_SIZE	CF_E0_COUNT	CF_40_COUNT	STRING_COUNT	FIRST_32_BYTES	STRING_SAMPLES
lgcVentures_Prototype	10391	314	56	84	00 00 00 00 00 00 00 06 03 CF 40 00 00 45 5C F7 05 82 08 01 09 01 01 CF B7 82 81 1B 58 10 EA 31	S[yH` | bb_tank_repair | bb_heal_repair | bb_dps_repair | basilisk | bb_tank_repair | }G4_M; | bb_heal_repair
loadingAreaLoadScreenPrototype	11123	1	237	306	00 00 00 00 00 00 01 01 CF 40 00 00 2A 08 F0 99 84 08 02 09 C8 EC C8 EC CE 01 4E B7 8C 5A 4B 31	eternity_vault_overlay | warzone_queshball_overlay | warzone_quesh_overlay | republic_overlay | stronghold_imp_guildship_overlay | coruscant_overlay | republic_overlay | spc_overlay_m01
loadingScreenTips	5988	8	105	36	00 00 00 02 02 CF 40 00 00 0A 0F 00 2F 3E 07 09 68 68 01 06 05 CF 40 00 00 0A 0F 00 2F 37 02 01	tips.cartel.market | tips.cartel.market | tips.cartel.market | tips.cartel.market | tips.cartel.market | tips.cartel.market | loading_tip_002 | tips.holo.calls
mapAreasDataProto	18506	0	753	280	00 00 00 01 01 CF 40 00 00 08 00 27 BF 7B 08 01 09 C8 FC C8 FC 32 07 05 CF 40 00 00 08 00 27 BF	unk_chat | off_chat | tat_chat | cor_chat | dro_chat | hut_chat | ord_chat | tyt_chat
mapDefaultAOIPerAreaPrototype	45	0	3	0	00 00 00 00 00 00 00 01 01 CF 40 00 00 0C C4 E2 60 5A 08 01 09 01 01 CF 40 00 00 01 06 29 6B 6D	
mapareasdata	35500	0	1	879	09 07 CF 40 00 00 00 00 69 C6 92 07 07 C8 FC C8 FC 01 06 07 07 01 13 34 36 31 31 36 38 36 30 31	explorable | tat_chat | trp.regional.shared.tatooine | false | explorable | cor_chat | trp.regional.republic.coruscant | false
mmsChallengesPrototype	2448	0	67	74	00 00 00 00 00 00 02 02 CF 40 00 00 4F 63 C3 70 8E 02 0C 03 07 09 16 16 01 09 07 CF 40 00 00 43	alderaan | cival | wz_alderaan | alderaan | cival | huttball | wz_narhuttball | huttball
mmsMatchmakersPrototype	995	0	11	0	00 00 00 00 00 01 01 CF 40 00 00 41 3E EE 1A F1 07 09 0A 0A 01 0F 0F CF 40 00 00 41 3E 5A DB A2	
mntMountInfoPrototype	888095	3348	10105	16057	00 00 00 00 00 00 00 04 04 CF 40 00 00 11 3C 03 21 29 08 01 02 C9 03 15 C9 03 15 CF E0 00 00 0D	;rmG&D | "P{{9 | jD2/ | 5y^M | /,J$ | 9~W4 | I;^w | M9=7
moviesUsedInScriptProto	382	0	1	25	00 00 00 00 00 01 01 CF 40 00 00 11 B4 3A 94 CB 08 05 06 19 19 02 0D 69 6D 70 5F 69 6E 74 72 6F	imp_intro.bik | rep_intro.bik | sw_intro.bik | si_intro.bik | ia_intro.bik | bh_intro.bik | jk_intro.bik | jc_intro.bik
mplifierInstancesPrototype	111312	0	988	2202	00 00 00 00 00 01 01 CF 40 00 00 43 EB E1 3E 20 08 02 09 C9 03 DB C9 03 DB CE 7E C1 6A D5 CD C8	~@r0 | amp.test.jr.armor_penetration_25 | ~@r0 | amp.test.jr.armor_penetration_50 | BQ!Aa | ~@r0 | amp.prf.efficiency.biochem_1 | BQ!Aa
mtxConversionScreenTablePrototype	1152	0	6	9	00 00 00 01 01 CF 40 00 00 40 D4 65 8D 82 08 02 09 05 05 CF 1C 9B 9B 80 4B 09 F8 83 08 08 CF 40	cartel_black_market | medical_probe | z.^M | z.^M | ivory_mouse_horranth | z#^} | z#^} | fleet_pass
mtxCurrencyLimitModifiersPrototype	103	2	3	0	00 00 01 01 CF 40 00 00 40 C3 93 5E B2 08 02 09 02 02 CF 26 5E 96 CF 4D C5 F4 35 03 03 CF 40 00	
mtxDiscountPrototype	539	0	3	3	03 03 CF 40 00 00 41 48 95 E0 62 07 09 02 02 01 07 07 CF 40 00 00 41 48 95 E0 63 02 C7 28 A5 EE	1discount.facial_reconstruction.sliders.subscriber | 1discount.facial_reconstruction.species.subscriber | E4i|h
mtxRestrictedContentPrototype	217	0	7	2	00 00 00 00 00 00 00 01 01 CF 40 00 00 4C 79 3D 41 83 08 05 09 06 06 01 05 05 CF 40 00 00 40 E2	Ly=A | Ly=A
mtxStashItemPlateDataPrototype	103374	2638	1	2730	00 00 00 00 00 00 01 01 CF 40 00 00 4E AD E7 59 28 08 01 06 C9 0A 4E C9 0A 4E CF E0 00 00 3B 92	#mtx_platter_DecorationTechnological | *,$mtx.season2.ald_npc.house_organa_v02 | mtx.season8.ruthless_scion | mtx_platter_DecorationLights | mtx_platter_DecorationPersonnel | Mtx.Season6.Nomad | j%mtx_platter_comp_gift_rep_memorabilia | mtx_platter_DecorationTrophies
mtxStorefrontInfoPrototype	1803926	32216	7944	10708	00 00 08 08 CF 40 00 00 40 A4 19 5B 22 08 02 07 12 12 CF 08 B6 D5 01 2A 98 9E 09 02 AA AA 01 C7	MjG;y$ | A$*T | RPJ4 | c^%W+ | @8a)e3 | N46T& | rY&k4 | ctrY
mtxUnlockMappingPrototype	74390	16	1658	1936	00 00 00 04 04 CF 40 00 00 40 D4 F3 EA D1 08 02 02 C9 05 94 C9 05 94 CE 74 5C 75 FA 67 86 72 C9	Q8NTA | #$Q# | &Q{J | &Q~J | ;:kV | O.M4 | O.RM | /l#1
mtxVendorPriceAdjustmentsPrototype	148	10	1	1	00 00 01 01 CF 40 00 00 40 D7 D1 69 14 08 01 04 0A 0A CF E0 00 3C 15 6D 25 E3 F7 00 00 80 3F CF	ddy_
ncoCatagoriesPrototype	1696	0	55	0	00 00 00 00 00 00 01 01 CF 40 00 00 4E 53 7A B2 7A 08 02 09 36 36 CE 0C CA 12 00 00 01 00 02 02	
nlockPrototypeMap	40553	1269	253	296	00 00 00 00 00 00 00 04 04 CF 40 00 00 3D D5 D3 A3 DA 08 01 09 C8 FC C8 FC CF E0 00 00 59 70 BC	akaavi_spar_light | datacron_green | $XZ$ | $XZ$ | khem_dark | risha_light | datacron_yellow | datacron_red
npcIdlePackagePrototype	92516	0	730	2407	00 00 00 00 00 01 01 CF 40 00 00 08 7E 55 14 1D 08 06 09 C9 02 D9 C9 02 D9 D2 0B 41 43 50 54 5F	ACPT_Walker | ACPT_Walker | epp.mount.deco_vfx.acpt_walker | ATST_Factory | ATST_Factory | epp.mount.deco_vfx.atst_factory | ATST_Shutdown_Loop | ATST_Shutdown_Loop
npcListSpawnersIdleAnimationsPrototype	780	0	1	23	00 00 00 00 00 00 01 01 CF 40 00 00 40 72 7D 77 42 08 01 07 0A 0A CF 02 BE B0 3D 6B 19 73 89 06	@r}wB | _Stand_Use_Pistol_Idle_01 | _Stand_Use_Pistol_Idle_02 | BattleDroid_WeaponReady_Idle | _Stand_Use_Cannon_Idle_02 | _Stand_Use_Saber_Idle_Jedi_01 | _Stand_Use_Saber_Idle_Jedi_02 | _Stand_Use_Saber_Idle_sith_01
npcTitlesPrototype	36650	0	327	652	00 00 01 01 CF 40 00 00 05 53 7F 35 37 08 06 09 C9 01 46 C9 01 46 D2 3C 6E 70 63 2E 74 69 74 6C	<npc.title.daily_area.ruhnuk.world.mob.achievement.wraid_boss | <npc.title.daily_area.ruhnuk.world.mob.achievement.wraid_boss | 0npc.title.daily_area.ruhnuk.world.mob.clan_ashad | 0npc.title.daily_area.ruhnuk.world.mob.clan_ashad | 3npc.title.daily_area.ruhnuk.world.mob.clan_darmanda | 3npc.title.daily_area.ruhnuk.world.mob.clan_darmanda | 3npc.title.daily_area.ruhnuk.world.mob.clan_harangir | 3npc.title.daily_area.ruhnuk.world.mob.clan_harangir
npcgestures	2334	0	1	203	00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 1F 1F 01 06 02 02 01 0D 54 77 6F 20 48 61 6E 64 20 53	Hand | Stop | ConversationTwoHandStop | Hands | ConversationTwoHandUp | Agree | ConversationAgree | Disagree
oiceEffectsTablePrototype	2204	0	1	102	00 00 00 00 00 00 00 02 02 CF 40 00 00 0A CE 00 F9 5C 08 02 02 43 43 00 00 CF 02 B4 57 FA C7 7E	]r=9 | ]s=9 | M|+^ | Special | Helmet | Vibrato | Special | Helmet
optOptionsDescriptionsPrototype	131117	0	673	3681	00 00 00 00 00 02 02 CF 40 00 00 11 3B C1 84 47 08 02 09 C9 02 9D C9 02 9D CE 63 25 65 5F D1 BA	c%e_ | loc:8000:preferences | loc:3087:preferences | loc:10000:preferences | Social_Legacy_Category | false | 7GroupFinder_CategorySelected_grpFinderCategory_Priority | false
pecPrototype	16545	62	111	379	00 00 00 00 01 01 CF 40 00 00 0F C4 57 6E 82 08 02 09 6D 6D CF 04 61 24 BF CB 4C 0F 13 0F 0C CF	\art\dynamic\spec\ | ithorian | <NQ> | \art\dynamic\spec\ | lightweighttargetabledummy | <NQ> | \art\dynamic\spec\ | <NQ>
pec_companion_equip_melee	953	0	1	21	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 0A 0A 03 01 04 01 05 01 06 01 07	conSpec_companion_equip_melee | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1
pec_companion_equip_ranged_single_weapon	888	0	1	19	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 05 01 06 01 07 01 09 01 0A 01 0B 01 0D 01 22 01	,conSpec_companion_equip_ranged_single_weapon | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanOutfit_1
pec_companion_no_gear_equip_melee	418	0	1	7	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 03 01 04 01 29 01 CC 04 4A	%conSpec_companion_no_gear_equip_melee | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOffHand_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanOutfit_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOffHand_1
pec_companion_no_helm_equip_melee	884	0	1	19	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 09 09 03 01 04 01 05 01 06 01 07	%conSpec_companion_no_helm_equip_melee | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanLeg_1 | conSlotEquipHumanMainHand_1 | conSlotEquipHumanOffHand_1
pec_droid_equip_ranged	410	0	1	7	00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 03 03 22 01 28 01 29 01 CC 04 4A 5D 59 C3 08 05	conSpec_droid_equip_ranged | conSlotEquipHumanOutfit_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanRangedPrimary_1 | conSlotEquipHumanShield_1 | conSlotEquipHumanOutfit_1
pec_escrow	472	0	1	19	00 00 00 00 00 00 10 0E CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 43 09 CC 04 4A 5D 59 C3 08 05	conSpec_escrow | conSlotAny_1 | conSlotAny_2 | conSlotAny_3 | conSlotAny_4 | conSlotAny_5 | conSlotAny_6 | conSlotAny_7
pec_guildbanktab	4379	0	1	182	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 5A CC 04 4A 5D 59 C3 08 05 02 01 01 01 00 CC	conSpec_guildbanktab | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13 | conSlotInventory_14
pec_imperial_agent_equip	2280	0	1	51	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 17 17 05 01 06 01 07 01 08 01 09 01 0A 01 0B 01 0C 02	conSpec_imperial_agent_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomMelee_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1
pec_inventory_overflow	21257	0	1	1003	00 00 10 0E CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 43 C9 01 F4 CC 04 4A 5D 59 C3 08 05 02 01	conSpec_inventory_overflow | C!C"C#C$C%C&C'C(C)C*C+C,C-C.C/C0C1C2C3C4C5C6C7C8C9C:C;C<C=C>C?C@CACBCCCDCECFCGCHCICJCKCLCMCNCOCPCQCRCSCTCUCVCWCXCYCZC[C\C]C^C_C`CaCbCcCdCeCfCgChCiCjCkClCmCnCoCpCqCrCsCtCuCvCwCxCyCzC{C|C}C~C | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotAny_1 | conSlotAny_10 | conSlotAny_100d | conSlotAny_101e | conSlotAny_102f
pec_loot	9998	0	1	502	10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1F C8 FA CC 04 4A 5D 59 C3 08 05 02 01 01 1F 00	conSpec_loot | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccddeeffgghhiijjkkllmmnnooppqqrrssttuuvvwwxxyyzz{{||}}~~ | conSlotLoot_1 | conSlotLoot_10 | conSlotLoot_100d | conSlotLoot_101e | conSlotLoot_102f | conSlotLoot_103g
pec_quest_tracker	1747	0	1	61	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 41 1E CC 04 4A 5D 59 C3 08	conSpec_quest_tracker | conSlotQuestTracker_1 | conSlotQuestTracker_10 | conSlotQuestTracker_11 | conSlotQuestTracker_12 | conSlotQuestTracker_13 | conSlotQuestTracker_14 | conSlotQuestTracker_15
pec_scff_equip_min_MRST	479	0	1	9	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 04 04 49 01 4B 01 4D 01 4F 01 CC 04 4A 5D 59 C3 08	conSpec_scff_equip_min_MRST | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1 | conSlotEquipSCFFThruster_1 | conSlotEquipSCFFMagazine_1 | conSlotEquipSCFFReactor_1 | conSlotEquipSCFFSensor_1
phsInstanceDataPrototype	46646	2594	212	237	00 00 00 00 08 07 CF 40 00 00 13 A3 3A 3F 45 08 01 01 C8 C4 C8 C4 CF 40 00 00 02 15 8B 45 78 CF	O2S4. | 9k^.= | S@[G | B\6. | B_tA | B_tA | B_tA | B_tA
phsTimedRunsPrototype	204	0	5	4	00 00 00 00 00 00 00 01 01 CF 40 00 00 44 A1 DA 05 48 08 02 09 04 04 CF 36 DE B8 D0 DE E1 9C A4	raid_timer_45_min | r4_timed_run | dxun_timed_run | flashpoint_timer_45_seconds
pkgTrainingCostTablePrototype	20606	1998	1	83	00 00 00 00 00 00 00 02 02 CF 40 00 00 27 9D 9B B5 E1 08 01 08 02 02 CF E0 00 A7 4C 86 01 3D 1E	pAJC | pAJC | pAJC | pAJC | pAJC | pAJC | pAJC | pAJC
prfBundlesTablePrototype	5138	42	43	57	00 00 00 00 04 04 CF 40 00 00 40 75 9C DF B0 07 09 2A 2A 01 0D 0A CF 40 00 00 40 72 2A EA 72 02	synthweaving | archaeology | bioanalysis | scavenging | artifice | armortech | rifles | biochem
prfCompanionsTotalPrototype	136	0	7	0	00 01 01 CF 40 00 00 4C 3C B6 B7 F5 07 09 06 06 01 03 03 CF 40 00 00 4C 3C B6 B7 F2 02 02 01 02	
prfCraftingTablesData	1151	25	13	14	00 00 00 00 00 00 00 01 01 CF 40 00 00 0C 06 BF D7 18 08 02 09 0C 0C CF 04 C8 2A CC BE 2D EF B3	po_fix_stand_high_idle_02X | po_fix_stand_high_idle_02X | po_fix_stand_high_idle_02X | -^Tw. | po_fix_stand_high_idle_02X | |/_x | po_fix_stand_high_idle_02X | po_fix_stand_high_idle_02X
prfDebugSchematicMapPrototype	379699	40192	4	1603	00 00 00 00 00 00 00 03 03 CF 40 00 00 0B 62 4C D7 9E 08 01 01 C9 2B 4D C9 2B 4D CF E0 00 00 02	0<Gv | C7g) | z,]$ | h,_o | 0bv7X | {zL,K | lt[H | p*-w
prfDisassembleInfoPrototype	20971	0	1	116	00 02 02 CF 40 00 00 43 E8 5A 61 50 08 02 02 89 89 CC 01 00 06 00 00 C7 66 EB 0C 94 A6 5A B2 72	IWxRw | 2'Ay} | G+3% | gr&x | ?y;9 | UyAw | G+3% | gr&x
prfMissionPoolInfoPrototype	2831	0	12	0	00 02 02 CF 40 00 00 40 72 26 08 85 08 02 02 C9 02 BC C9 02 BC 01 01 02 01 03 01 04 01 05 01 06	
prfMissionResultsPrototype	107894	1060	3182	190	00 00 01 01 CF 40 00 00 0B C3 6D 0A 87 08 01 08 C9 04 24 C9 04 24 CF E0 00 00 D4 24 19 56 D3 05	1'g9, | $g?f | 0mhq | -=SG | 1'g5 | YMc' | f"Ig< | $g?m
prfProfessionInfoPrototype	3072	51	15	33	00 00 01 01 CF 40 00 00 06 17 90 FE AC 08 05 09 0E 0E 02 14 10 CF 40 00 00 06 17 90 FE AA 02 01	archaeology | archaeology | bioanalysis | bioanalysis | <&Jyi | scavenging | scavenging | artifice
prfSchematicVariationsPrototype	114685	8441	1	543	00 00 00 00 00 03 03 CF 40 00 00 13 8A 62 62 46 08 02 02 B4 B4 CE FC 54 AB 3A 47 D4 37 03 CF 01	'o+Y | _"G{ | 1EUg | ~a4E | Y^-8!3] | wER3 | oait | >fg5
prvItemEquipAppearancesPrototype	281	10	8	0	00 00 00 00 03 03 CF 40 00 00 43 D8 F7 79 F1 01 CF E0 00 75 48 1D 70 00 4C CB 06 01 EE EF 08 01	
prvWeaponActionAppearancesPrototype	722	15	16	11	00 03 01 CF 40 00 00 43 DD 70 09 C2 08 05 08 08 08 02 05 08 02 02 01 02 09 01 01 CF 50 FE D8 C6	5}X{ | 5}X{ | 5}X{ | 5}X{ | 5}X{ | 5}X{ | 5}X{ | 5}X{
pvpTweakablePrototype	621	0	1	3	00 00 00 00 00 00 00 0D 0B CF 40 00 00 0E B7 02 0D D7 08 02 02 0F 0F CF 0D 90 03 9F 0C CD C3 B5	y$!G | HC_0O | bCB.
qstEpisodeWindowPrototype	3857	230	53	5	00 00 00 02 02 CF 40 00 00 4E CC 1E 55 6A 08 01 08 02 02 CE 08 C3 0F 00 00 01 2A 02 09 11 11 01	R,.= | .3U_u} | R,.= | R,.= | .3U_u}
qstErasPrototype	15289	928	23	87	00 00 00 00 04 04 CF 40 00 00 45 95 84 DD A1 08 02 07 09 09 01 02 08 08 01 C7 74 60 D0 80 65 10	j>Is | keyart_01.2_interlude | gW"8 | j>Is | keyart_01_launch_origins | j>Is | *ds*! | mv82
qstIconDetailsPrototype	6702	0	46	168	00 00 00 00 00 01 01 CF 40 00 00 42 84 66 92 00 08 05 08 07 07 01 05 09 07 07 02 04 04 CF 40 00	/worlddesign/quests/icon_overhead_questavailable | /worlddesign/quests/icon_overhead_questavailable | QuestNpcGrant | QuestNpcGrant | QuestNpcActive | QuestNpcActive | .worlddesign/quests/icon_overhead_questcomplete | .worlddesign/quests/icon_overhead_questcomplete
qstRepeatIntervalProto	233	0	1	0	00 00 00 00 00 00 02 02 CF 40 00 00 27 95 CF 8E 70 08 02 02 0A 0A CF 14 9E 86 2B A4 28 E1 93 08	
qstRewardsInfoPrototype	2791792	121168	39501	5093	00 00 00 00 00 02 02 CF 40 00 00 42 E1 46 D0 C0 08 01 07 C9 0A 3F C9 0A 3F CF E0 00 00 07 C6 13	v$G; | b3k{ | pAJC | pAJC | \GGm | Lr,` | .hUZ | pAJC
qstrewardsconvocreditsData	1272	0	1	9	00 00 01 01 CF 40 00 00 0B 8C 27 90 54 08 02 08 03 03 CF 08 2E FC 89 EA 77 A7 B6 02 04 51 51 00	@!D, | @0D0 | @bD9 | @{D< | @bD, | @gD- | @lD. | @qD/
qstrewardsconvoforcealignmentData	1691	0	1	0	00 00 00 01 01 CF 40 00 00 0B 8C 27 90 54 08 02 08 04 04 CF 08 2E FC 89 EA 77 A7 B6 02 04 51 51	
qstrewardscreditsData	2113	0	1	27	00 00 00 00 00 00 00 01 01 CF 40 00 00 0B 8C 27 90 54 08 02 08 05 05 CF 08 2E FC 89 EA 77 A7 B6	pFE$ | PpE' | 4(F> | P9FA | @?FB | DEFC | \KFD | 0^FG
qstrewardscreditsdifficultyscale	940	0	1	34	00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 09 09 01 06 03 03 01 12 71 73 74 44 69 66 66	qstDifficultyNoExp | qstDifficultyChainStep | qstDifficultyEasy | qstDifficultyNormal | qstDifficultyHard | qstDifficultyVeryHard | qstDifficultySeasonOne | qstDifficultySeasonTwo
raidInformationPrototype	4874	36	86	2	00 00 00 00 02 02 CF 40 00 00 34 B3 7C FC 40 08 02 01 12 12 01 CF E0 00 F6 F8 5D 18 76 DC 02 CF	^+q` | ^+q`
randomnamegenerator_cathar_female	7986	0	156	12	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 63 61 74 68 61 72 5F 66 65 6D 61 6C 65 01 09 03	cathar_female | estr/ | Chaya | esh8 | EidC | Iann | IonV | IsmX
randomnamegenerator_cathar_male	13477	0	219	15	00 00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0B 63 61 74 68 61 72 5F 6D 61 6C 65 01 09 03	cathar_male | ast$ | Eth7 | alcr: | olwA | unwH | rrda | ursS
randomnamegenerator_chiss_female	24496	0	313	80	00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0C 63 68 69 73 73 5F 66 65 6D 61 6C 65 01 09 03	chiss_female | ind' | en'm | esh! | ehsh$ | en'& | i'd( | as'+
randomnamegenerator_chiss_male	29879	0	337	62	00 00 00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0A 63 68 69 73 73 5F 6D 61 6C 65 01 09 03	chiss_male | itth' | ow'" | i's$ | a's( | oj'/ | e'r3 | ib':
randomnamegenerator_human_female	26918	0	402	44	00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0C 68 75 6D 61 6E 5F 66 65 6D 61 6C 65 01 09 03	human_female | Alth | yees | Andr# | yar& | iel( | Ash* | itl/
randomnamegenerator_human_male	59750	0	629	61	00 00 00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0A 68 75 6D 61 6E 5F 6D 61 6C 65 01 09 03	human_male | Aldr | Andr | Ans& | Aph* | Arc0 | Arch2 | Ardr6
randomnamegenerator_miraluka_female	9973	0	178	16	00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0F 6D 69 72 61 6C 75 6B 61 5F 66 65 6D 61 6C 65 01 09 03	miraluka_female | Astr | artr | arl* | Chri | ort5 | Elm8 | Els:
randomnamegenerator_miraluka_male	13192	0	208	34	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 6D 69 72 61 6C 75 6B 61 5F 6D 61 6C 65 01 09 03	miraluka_male | Edr* | Edw+ | end- | Erl. | Esg0 | Evs1 | elm3
randomnamegenerator_mirialan_female	13734	0	233	28	00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0F 6D 69 72 69 61 6C 61 6E 5F 66 65 6D 61 6C 65 01 09 03	mirialan_female | uln" | ebr, | Emp3 | Epl6 | nthi | Esm8 | Esp:
randomnamegenerator_mirialan_male	17004	0	256	41	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 6D 69 72 69 61 6C 61 6E 5F 6D 61 6C 65 01 09 03	mirialan_male | Aesc | ait# | ostr' | andr0 | esstr3 | raeu | ast6
randomnamegenerator_nautolan_female	13026	0	219	24	00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0F 6E 61 75 74 6F 6C 61 6E 5F 66 65 6D 61 6C 65 01 09 03	nautolan_female | liya | adn* | orm/ | Eml3 | Eshn7 | ezh> | irjV
randomnamegenerator_nautolan_male	13081	0	219	15	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 6E 61 75 74 6F 6C 61 6E 5F 6D 61 6C 65 01 09 03	nautolan_male | eesh | Esh4 | elk: | itvE | ursS | IdrU | IkmV
randomnamegenerator_rattataki_female	10716	0	195	34	07 06 CF 40 00 00 05 FA 3C 25 0E 06 10 72 61 74 74 61 74 61 6B 69 5F 66 65 6D 61 6C 65 01 09 03	rattataki_female | raya | Askl | Aurr | eth" | athk% | oxt( | ithn*
randomnamegenerator_rattataki_male	11859	0	195	30	00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0E 72 61 74 74 61 74 61 6B 69 5F 6D 61 6C 65 01 09 03	rattataki_male | Ashk | Attr | Aurk | ath" | alt& | Exchr: | yan<
randomnamegenerator_togruta_female	13026	0	219	24	00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0E 74 6F 67 72 75 74 61 5F 66 65 6D 61 6C 65 01 09 03	togruta_female | liya | adn* | orm/ | Eml3 | Eshn7 | ezh> | irjV
randomnamegenerator_togruta_male	13081	0	219	15	00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0C 74 6F 67 72 75 74 61 5F 6D 61 6C 65 01 09 03	togruta_male | eesh | Esh4 | elk: | itvE | ursS | IdrU | IkmV
randomnamegenerator_twilek_female	18510	0	275	51	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 74 77 69 6C 65 6B 5F 66 65 6D 61 6C 65 01 09 03	twilek_female | asht | ish' | ond% | ash( | yr'r/ | esl1 | i'l3
randomnamegenerator_twilek_male	21753	0	289	62	00 00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0B 74 77 69 6C 65 6B 5F 6D 61 6C 65 01 09 03	twilek_male | od'r | or't | ezg! | elg# | em's% | ynd' | orf+
randomnamegenerator_zabrak_female	13026	0	219	24	00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0D 7A 61 62 72 61 6B 5F 66 65 6D 61 6C 65 01 09 03	zabrak_female | liya | adn* | orm/ | Eml3 | Eshn7 | ezh> | irjV
randomnamegenerator_zabrak_male	13081	0	219	15	00 00 00 00 00 07 06 CF 40 00 00 05 FA 3C 25 0E 06 0B 7A 61 62 72 61 6B 5F 6D 61 6C 65 01 09 03	zabrak_male | eesh | Esh4 | elk: | itvE | ursS | IdrU | IkmV
re_all_areas	372	1	8	5	1A 06 CF 40 00 00 13 A7 87 EE 87 08 02 09 04 04 01 04 04 CF 40 00 00 11 5C E8 74 88 02 CE 0B 60	str.ach | str.ach | str.ach | str.ach | exploration
repGroupInfosPrototype	6920	0	38	156	00 00 00 00 00 00 01 01 CF 40 00 00 40 F8 3F 8F D0 08 01 09 25 25 01 0E 0C CF 40 00 00 40 F6 39	rep.makeb.empire | rep.makeb.republic | Makeb | rep.gsi.shared | rep.gsi.shared | rep.empire.test | rep.rebel.test | Hutt
